Event,Count,SysTime
Lick1,1,3724.2613759999999
Lick1,2,3725.1173760000001
Lick1,0,3725.5593920000001
Feed1,10398,3725.5753920000002
Lick1,1,3725.699392
Lick1,2,3726.4853760000001
Lick1,0,3726.8293760000001
Feed1,10399,3726.8413759999999
Lick1,1,3728.1274239999998
Lick1,2,3728.5374080000001
Lick1,0,3730.5934080000002
Feed1,10400,3730.6054079999999
Lick1,1,3794.1514560000001
Lick1,2,3794.9715200000001
Lick1,0,3796.4414400000001
Feed1,10401,3796.4574400000001
Lick1,1,3796.5474559999998
Lick1,2,3796.7154559999999
Lick1,0,3796.9214400000001
Feed1,10402,3796.9374400000002
Lick1,1,3798.019456
Lick1,2,3799.3174399999998
Lick1,0,3799.4554560000001
Feed1,10403,3799.4674559999999
Lick1,1,3799.9674559999999
Lick1,2,3800.1034559999998
Lick1,0,3800.4154560000002
Feed1,10404,3800.4274559999999
Lick1,1,3800.5834559999998
Lick1,2,3800.7214399999998
Lick1,0,3801.0614399999999
Feed1,10405,3801.07744
Lick1,1,3802.05744
Lick1,2,3802.1594559999999
Lick1,0,3802.6014399999999
Feed1,10406,3802.61744
Lick1,1,3803.0814399999999
Lick1,2,3803.3234560000001
Lick1,0,3804.1094400000002
Feed1,10407,3804.1214399999999
Lick1,1,3804.4154560000002
Lick1,2,3804.9974400000001
Lick1,0,3805.3754560000002
Feed1,10408,3805.3874559999999
Lick1,1,3805.6814399999998
Lick1,2,3805.8214400000002
Lick1,0,3806.2634560000001
Feed1,10409,3806.2794560000002
Lick1,1,3806.36544
Lick1,2,3806.6074560000002
Lick1,0,3807.3934399999998
Feed1,10410,3807.40544
Lick1,1,3807.8394560000002
Lick1,2,3807.943456
Lick1,0,3808.0454719999998
Feed1,10411,3808.057472
Lick1,1,3808.1474880000001
Lick1,2,3808.249472
Lick1,0,3808.3514879999998
Feed1,10412,3808.363488
Lick1,1,3808.4554880000001
Lick1,2,3808.557472
Lick1,0,3808.7994880000001
Feed1,10413,3808.8114879999998
Lick1,1,3808.901472
Lick1,2,3809.0034879999998
Lick1,0,3809.5854720000002
Feed1,10414,3809.5974719999999
Lick1,1,3809.823488
Lick1,2,3811.0874880000001
Lick1,0,3811.1954879999998
Feed1,10415,3811.207488
Lick1,1,3811.4314880000002
Lick1,2,3812.2874879999999
Lick1,0,3812.3914880000002
Feed1,10416,3812.4034879999999
Lick1,1,3814.4794879999999
Lick1,2,3815.0614719999999
Lick1,0,3815.8474879999999
Feed1,10417,3815.8594880000001
Lick1,1,3816.633472
Lick1,2,3818.959488
Lick1,0,3819.1654720000001
Feed1,10418,3819.1814720000002
Lick1,1,3819.4714880000001
Lick1,2,3819.5794879999999
Lick1,0,3822.7254720000001
Feed1,10419,3822.7374719999998
Lick1,1,3823.1554879999999
Lick1,2,3823.8874879999998
Lick1,0,3823.9894720000002
Feed1,10420,3824.0054719999998
Lick1,1,3824.2314879999999
Lick1,2,3824.6414719999998
Lick1,0,3827.0055040000002
Feed1,10421,3827.0175039999999
Lick1,1,3829.9615039999999
Lick1,2,3831.0755199999999
Lick1,0,3831.41552
Feed1,10422,3831.4315200000001
Lick1,1,3831.8295039999998
Lick1,2,3831.9315200000001
Lick1,0,3832.7875199999999
Feed1,10423,3832.79952
Lick1,1,3833.1815040000001
Lick1,2,3834.4635199999998
Lick1,0,3834.5655040000001
Feed1,10424,3834.5775039999999
Lick1,1,3834.66752
Lick1,2,3834.8035199999999
Lick1,0,3835.1795200000001
