Event,Count,SysTime
Lick0,0,526397.48201599997
Feed0,8,526397.48800000001
Lick1,1,526397.52399999998
Lick1,2,526397.718016
Lick1,0,526397.81999999995
Feed1,68,526397.83200000005
Lick1,1,526398.26201599999
Lick1,2,526398.39801600005
Lick1,0,526398.91001600004
Feed1,69,526398.91801599995
Lick1,1,526399.01199999999
Lick1,2,526399.25001600001
Lick1,0,526399.48800000001
Feed1,70,526399.49801600003
Lick1,1,526399.62201599998
Lick1,2,526399.76201599999
Lick1,0,526399.86399999994
Feed1,71,526399.87199999997
Lick1,1,526400.23596800002
Lick1,2,526400.37196799996
Lick1,0,526400.74598400004
Feed1,72,526400.75596800004
Lick1,1,526401.08396800002
Lick1,2,526401.46198400005
Lick1,0,526401.96998399997
Feed1,73,526401.97996799997
Lick1,1,526402.10793599999
Lick1,2,526402.345952
Lick1,0,526402.48195199994
Feed1,74,526402.49193599995
Lick1,1,526402.71795199998
Lick1,2,526402.85395200003
Lick1,0,526402.99395200005
Feed1,75,526402.99993599998
Lick1,1,526403.26393599994
Lick1,2,526403.39795200003
Lick1,0,526403.53395199997
Feed1,76,526403.54595199996
Lick1,1,526403.63593600004
Lick1,2,526403.77593600005
Lick1,0,526403.90995200002
Feed1,77,526403.91795200005
Lick1,1,526404.14793600002
Lick1,2,526404.24995199998
Lick1,0,526404.38595200004
Feed1,78,526404.39795200003
Lick1,1,526404.519936
Lick1,2,526404.73993599997
Lick1,0,526404.99990399997
Feed1,79,526405.007904
Lick1,1,526405.71190400003
Lick1,2,526405.94992000004
Lick1,0,526406.08591999998
Feed1,80,526406.09791999997
Lick1,1,526406.22390400001
Lick1,2,526406.86790399998
Lick1,0,526407.00592000003
Feed1,81,526407.01590400003
Lick1,1,526407.85392000002
Lick1,2,526407.98991999996
Lick1,0,526408.12787199998
Feed1,82,526408.137888
Lick1,1,526408.26387200004
Lick1,2,526408.46988800005
Lick1,0,526408.70588799997
Feed1,83,526408.713888
Lick1,1,526408.84188800002
Lick1,2,526408.97587199998
Lick1,0,526409.11187200004
Feed1,84,526409.12387200003
Lick1,1,526409.25187200005
Lick1,2,526409.38588800002
Lick1,0,526410.54185599997
Feed1,85,526410.55385599995
Lick1,1,526410.74585599999
Lick1,2,526410.88185600005
Lick1,0,526411.15584000002
Feed1,86,526411.16384000005
Lick1,1,526411.42585600005
Lick1,2,526411.56185599999
Lick1,0,526411.69984000002
Feed1,87,526411.70784000005
Lick1,1,526412.07385599997
Lick1,2,526412.37983999995
Lick1,0,526412.51584000001
Feed1,88,526412.52384000004
Lick1,1,526412.65183999995
Lick1,2,526412.78585600003
Lick1,0,526413.32982400001
Feed1,89,526413.341824
Lick1,1,526413.46582399996
Lick1,2,526413.60380799999
Lick1,0,526413.73990399996
Feed1,90,526413.74780799996
Lick1,1,526413.87580799998
Lick1,2,526414.00982399995
Lick1,0,526414.14582400001
Feed1,91,526414.15782399999
Lick1,1,526414.75980799994
Lick1,2,526414.99782399996
Lick1,0,526415.54182399996
Feed1,92,526415.54982399999
Lick1,1,526415.67782400001
Lick1,2,526415.81180799997
Lick1,0,526416.49177600001
Feed1,93,526416.50579199998
Lick1,1,526416.63177600002
Lick1,2,526416.90179200005
Lick1,0,526417.20979200001
Feed1,94,526417.21779200004
Lick1,1,526417.34377599997
Lick1,2,526417.71779200004
Lick1,0,526417.85577599995
Feed1,95,526417.86377599998
Lick1,1,526417.99177600001
Lick1,2,526418.26176000002
Lick1,0,526418.63775999995
Feed1,96,526418.64774399996
Lick1,1,526419.17974399996
Lick1,2,526419.31776000001
Lick1,0,526419.45375999995
Feed1,97,526419.46175999998
Lick1,1,526419.82576000004
Lick1,2,526420.03174400004
Lick1,0,526420.54374400002
Feed1,98,526420.55174400005
Lick1,1,526420.67775999999
Lick1,2,526420.81376000005
Lick1,0,526421.121728
Feed1,99,526421.12972800003
Lick1,1,526421.49372799997
Lick1,2,526421.62771200004
Lick1,0,526421.93571200001
Feed1,100,526421.94771199999
Lick1,1,526422.61571200006
Lick1,2,526422.751712
Lick1,0,526422.92371200002
Feed1,101,526422.93571200001
Lick1,1,526423.49971200002
Lick1,2,526423.60371199995
Lick1,0,526423.73772800004
Feed1,102,526423.74972800002
Lick1,1,526423.87372799998
Lick1,2,526424.00768000004
Lick1,0,526424.31568
Feed1,103,526424.32767999999
Lick1,1,526424.45168000006
Lick1,2,526424.58969599998
Lick1,0,526424.72569600004
Feed1,104,526424.73769600003
Lick1,1,526425.09769600001
Lick1,2,526425.37167999998
Lick1,0,526425.50768000004
Feed1,105,526425.51968000003
Lick1,1,526425.64169600001
Lick1,2,526425.77769599995
Lick1,0,526425.913696
Feed1,106,526425.92569599999
Lick1,1,526426.49366399995
Lick1,2,526426.62966400001
Lick1,0,526426.76364799996
Feed1,107,526426.77766400005
Lick1,1,526427.03564799996
Lick1,2,526427.173664
Lick1,0,526427.47766400001
Feed1,108,526427.48966399999
Lick1,1,526427.75164799998
Lick1,2,526428.32966399996
Lick1,0,526428.46566400002
Feed1,109,526428.47564800002
Lick1,1,526428.77164799999
Lick1,2,526429.04163200001
Lick1,0,526429.14361599996
Feed1,110,526429.15763200005
Lick1,1,526429.41961600003
Lick1,2,526429.553632
Lick1,0,526430.09961599996
Feed1,111,526430.11161599995
Lick1,1,526430.26563200005
Lick1,2,526430.94761599996
Lick1,0,526431.38959999999
Feed1,112,526431.40159999998
Lick1,1,526432.24159999995
Lick1,2,526432.37558400002
Lick1,0,526432.64560000005
Feed1,113,526432.65958400001
Lick1,1,526433.08959999995
Lick1,2,526433.22758399998
Lick0,0,526436.55756800005
Feed0,9,526436.56956800004
Lick1,1,526436.57756799995
Lick1,2,526436.659552
Lick1,0,526437.30752000003
Feed1,114,526437.31952000002
Lick0,1,526443.52947199997
Lick1,2,526443.537472
Lick1,0,526443.63145600003
Feed1,115,526443.64345600002
Lick0,1,526460.08326400002
Lick1,2,526460.095264
Lick1,0,526460.22326400003
Feed1,116,526460.23126399994
Lick1,1,526460.595264
Lick1,2,526461.10323200002
Lick1,0,526461.649248
Feed1,117,526461.66124799999
Lick1,1,526461.82124800002
Lick1,2,526462.05724800006
Lick1,0,526462.16124799999
Feed1,118,526462.16924800002
Lick1,1,526462.41523200006
Lick1,2,526462.53324799996
Lick1,0,526462.84124800004
Feed1,119,526462.84924799995
Lick1,1,526463.07724799996
Lick1,2,526463.34723199997
Lick1,0,526463.52124799998
Feed1,120,526463.52723200002
Lick1,1,526463.99523200002
Lick1,2,526464.13119999995
Lick1,0,526464.40121599997
Feed1,121,526464.41321599996
Lick1,1,526464.70921600005
Lick1,2,526464.94720000005
Lick1,0,526465.52320000005
Feed1,122,526465.53520000004
Lick1,1,526465.69519999996
Lick1,2,526466.10121600004
Lick1,0,526466.47721599997
Feed1,123,526466.48719999997
Lick1,1,526466.57920000004
Lick1,2,526466.81920000003
Lick1,0,526467.08918400004
Feed1,124,526467.10118400003
Lick1,1,526467.56316799996
Lick1,2,526467.69916800002
Lick1,0,526468.07516799995
Feed1,125,526468.08716800006
Lick1,1,526468.58316799998
Lick1,2,526469.09513599996
Lick1,0,526469.33315199998
Feed1,126,526469.34515199997
Lick1,1,526469.67315199994
Lick1,2,526469.77513600001
Lick1,0,526470.01315200003
Feed1,127,526470.02515200002
Lick1,1,526470.52115199994
Lick1,2,526470.86115200003
Lick1,0,526470.99513599998
Feed1,128,526471.00713599997
Lick1,1,526471.439136
Lick1,2,526471.64313600003
Lick1,0,526471.77913599997
Feed1,129,526471.79113599996
