"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	0.247017622383514	0.181041533024638	Inf	1.36442515845189	0.172433794239135	0.172433794239135
"off - on"	"2"	-0.386720875768701	0.196327806940713	Inf	-1.96977128097541	0.0488645893999827	0.0514364098947186
"off - on"	"3"	-0.77310449166936	0.200318210588677	Inf	-3.85938197729218	0.000113674139853764	0.000126304599837516
"off - on"	"4"	-1.07934036034856	0.200625736271257	Inf	-5.37986990307783	7.45396858372661e-08	8.76937480438424e-08
"off - on"	"5"	-1.46514027269033	0.209439464540522	Inf	-6.99553102804491	2.64256090151207e-12	3.30320112689009e-12
"off - on"	"6"	-1.483172217012	0.204958927735994	Inf	-7.23643626259821	4.60627987388363e-13	6.14170649851151e-13
"off - on"	"7"	-1.76345139731469	0.231116925905216	Inf	-7.63012657081593	2.34523342701416e-14	3.35033346716309e-14
"off - on"	"8"	-1.75707592909464	0.214231108363294	Inf	-8.20177770874893	2.36857976026746e-16	3.64396886194994e-16
"off - on"	"9"	-1.97811933833407	0.236330889348842	Inf	-8.37012607105379	5.75566220293432e-17	9.59277033822387e-17
"off - on"	"10"	-2.12665180004959	0.236816031301698	Inf	-8.98018511821224	2.70311575646722e-19	6.0069239032605e-19
"off - on"	"11"	-2.51597586452002	0.258383872837011	Inf	-9.73735642590626	2.08918455468492e-22	8.3567382187397e-22
"off - on"	"12"	-2.70061990311931	0.274150999683284	Inf	-9.85084827791703	6.79678772197054e-23	4.53119181464703e-22
"off - on"	"13"	-2.84508975672874	0.291953217366942	Inf	-9.74501936436233	1.93741927415659e-22	8.3567382187397e-22
"off - on"	"14"	-2.80790063180663	0.279476413217661	Inf	-10.0470039653035	9.47029023808003e-24	1.89405804761601e-22
"off - on"	"15"	-2.92433082317787	0.293120525812193	Inf	-9.97654741193915	1.93068175065093e-23	1.93068175065093e-22
"off - on"	"16"	-3.56586949936199	0.385670157177157	Inf	-9.24590464935563	2.33259067366879e-20	5.83147668417196e-20
"off - on"	"17"	-2.76876516924687	0.30966964273607	Inf	-8.94102871945597	3.85564151215971e-19	7.71128302431941e-19
"off - on"	"18"	-3.22380565548043	0.34731638311393	Inf	-9.28204315205862	1.66259299613734e-20	4.75026570324956e-20
"off - on"	"19"	-3.88973104582511	0.456481895673487	Inf	-8.52110693258986	1.58035538314091e-17	2.87337342389257e-17
"off - on"	"20"	-3.3478653071735	0.3464119185601	Inf	-9.6644056621645	4.27091725172801e-22	1.42363908390934e-21
