"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.73966469667737	0.209396184327694	Inf	1.32925571689498	2.15007367645976
"on"	"1"	1.49264707429386	0.233099312272907	Inf	1.0357808174179	1.94951333116981
"off"	"2"	0.250336915730248	0.218830129496272	Inf	-0.17856225681468	0.679236088275177
"on"	"2"	0.63705779149895	0.23773141115426	Inf	0.171112787642716	1.10300279535518
"off"	"3"	-0.227012955376144	0.225369989199756	Inf	-0.668730017403845	0.214704106651558
"on"	"3"	0.546091536293217	0.235145493201324	Inf	0.0852148384917132	1.00696823409472
"off"	"4"	-0.374915332874386	0.228094153244994	Inf	-0.821971658318733	0.0721409925699611
"on"	"4"	0.704425027474179	0.233125586724688	Inf	0.247507273619021	1.16134278132934
"off"	"5"	-0.786153264416704	0.234953017270906	Inf	-1.2466527163267	-0.325653812506711
"on"	"5"	0.678987008273628	0.234364054647057	Inf	0.21964190189462	1.13833211465264
"off"	"6"	-0.812590359673574	0.234224828769766	Inf	-1.27166258834738	-0.353518130999771
"on"	"6"	0.670581857338422	0.232239310594454	Inf	0.215401172778882	1.12576254189796
"off"	"7"	-1.34494672683662	0.254336684745478	Inf	-1.84343746888508	-0.846455984788169
"on"	"7"	0.418504670478063	0.235474454295422	Inf	-0.0430167792201877	0.880026120176313
"off"	"8"	-1.13863751253657	0.241894369103575	Inf	-1.61274176404262	-0.664533261030524
"on"	"8"	0.61843841655807	0.232556448206409	Inf	0.162636153700954	1.07424067941519
"off"	"9"	-1.55868734864613	0.259879099100106	Inf	-2.06804102321706	-1.04933367407521
"on"	"9"	0.41943198968794	0.235102096818696	Inf	-0.0413596527665525	0.880223632142432
"off"	"10"	-1.63271689933567	0.261436704326074	Inf	-2.14512342405162	-1.12031037461971
"on"	"10"	0.493934900713928	0.233714647881672	Inf	0.0358626082063896	0.952007193221466
"off"	"11"	-2.0394983910005	0.281502181979619	Inf	-2.59123252925	-1.48776425275101
"on"	"11"	0.476477473519515	0.233849131099007	Inf	0.0181415987494749	0.934813348289554
"off"	"12"	-2.24744302697709	0.295065998590544	Inf	-2.8257617572769	-1.66912429667728
"on"	"12"	0.453176876142213	0.234677873609359	Inf	-0.00678330410057376	0.913137056385
"off"	"13"	-2.43704115592833	0.311505685327857	Inf	-3.04758108015039	-1.82650123170626
"on"	"13"	0.408048600800413	0.235293039443304	Inf	-0.0531172823214245	0.86921448392225
"off"	"14"	-2.29996398675207	0.300608566217095	Inf	-2.8891459499818	-1.71078202352234
"on"	"14"	0.507936645054564	0.233768111879034	Inf	0.0497595650377278	0.9661137250714
"off"	"15"	-2.45819946699988	0.312967208868118	Inf	-3.07160392472342	-1.84479500927635
"on"	"15"	0.466131356177993	0.234362871676174	Inf	0.00678856837930886	0.925474143976676
"off"	"16"	-3.17209844635155	0.400682458840068	Inf	-3.95742163491503	-2.38677525778806
"on"	"16"	0.393771053010443	0.234969363251353	Inf	-0.0667604364325185	0.854302542453405
"off"	"17"	-2.60660566501475	0.325065248575549	Inf	-3.24372184484839	-1.96948948518112
"on"	"17"	0.162159504232121	0.239554861756676	Inf	-0.307359397132436	0.631678405596678
"off"	"18"	-2.87799757262032	0.3632611778015	Inf	-3.58997639809286	-2.16601874714777
"on"	"18"	0.345808082860111	0.236141334665884	Inf	-0.117020428346242	0.808636594066463
"off"	"19"	-3.62877446709069	0.468179995070849	Inf	-4.54639039571169	-2.71115853846969
"on"	"19"	0.260956578734418	0.237487706861333	Inf	-0.204510773484801	0.726423930953638
"off"	"20"	-2.87800511961297	0.363261923790029	Inf	-3.58998540719616	-2.16602483202978
"on"	"20"	0.469860187560535	0.2346514206164	Inf	0.00995185423123163	0.929768520889839
