"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	-0.0503964756048991	0.148044431301835	Inf	-0.340414530703625	0.733544377505438	0.772151976321514
"off - on"	"2"	-0.0660130178799616	0.156370709286456	Inf	-0.422157181362095	0.672910292927442	0.747678103252714
"off - on"	"3"	-0.0938367690750476	0.158071655810444	Inf	-0.593634377991047	0.55275668240877	0.650301979304436
"off - on"	"4"	0.0291942148291894	0.162907151583291	Inf	0.179207693127352	0.857774623272944	0.857774623272944
"off - on"	"5"	0.214647414321907	0.164566552846403	Inf	1.30431980623819	0.192124564980631	0.240155706225789
"off - on"	"6"	0.503939972292313	0.168623385205429	Inf	2.98855328801742	0.00280301616613075	0.00736650530844142
"off - on"	"7"	0.550727772864176	0.174804618574824	Inf	3.15053330600896	0.00162972673818948	0.00666573940440062
"off - on"	"8"	0.370611932797522	0.175957385840186	Inf	2.10625959818551	0.0351818087247253	0.0502597267496076
"off - on"	"9"	0.507073685437282	0.185517348230743	Inf	2.73329524313054	0.00627040969969388	0.0125408193993878
"off - on"	"10"	0.558973494469809	0.188000567137591	Inf	2.97325429907197	0.00294660212337657	0.00736650530844142
"off - on"	"11"	0.722127201069521	0.191746647435129	Inf	3.76604864141799	0.000165851494315083	0.00165851494315083
"off - on"	"12"	0.77090968697275	0.195247272308599	Inf	3.94837621984437	7.86830819214154e-05	0.00157366163842831
"off - on"	"13"	0.706938143036536	0.201696634471131	Inf	3.50495755613474	0.000456680082689379	0.00304453388459586
"off - on"	"14"	0.399957804886705	0.200477027854127	Inf	1.99503059860667	0.0460395427044517	0.061386056939269
"off - on"	"15"	0.468025025824701	0.203908542522453	Inf	2.29526934004329	0.0217176935544667	0.0334118362376411
"off - on"	"16"	0.538687523189768	0.205843978221089	Inf	2.61697003645734	0.00887141284157993	0.0147856880692999
"off - on"	"17"	0.64459411415789	0.205022204306842	Inf	3.14402099195642	0.00166643485110015	0.00666573940440062
"off - on"	"18"	0.593249697061386	0.21559365047425	Inf	2.75170301053111	0.00592862603381208	0.0125408193993878
"off - on"	"19"	0.595555569229598	0.221806764647594	Inf	2.68501986481709	0.00725254954849455	0.0131864537245355
"off - on"	"20"	0.6844175331114	0.226280038322337	Inf	3.02464829945115	0.0024892240250634	0.00736650530844142
