"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.60608020680619	0.20394929996684	Inf	1.20634692419902	2.00581348941335
"on"	"1"	1.65647668241108	0.202456074983721	Inf	1.25967006699165	2.05328329783052
"off"	"2"	0.661088643687834	0.20621323785709	Inf	0.256918124352546	1.06525916302312
"on"	"2"	0.727101661567796	0.205537340143323	Inf	0.324255877408724	1.12994744572687
"off"	"3"	0.348808269768762	0.206459765671319	Inf	-0.055845435203602	0.753461974741127
"on"	"3"	0.44264503884381	0.20646658153374	Inf	0.0379779750265768	0.847312102661043
"off"	"4"	0.0362746151614899	0.208134295721191	Inf	-0.371661108399654	0.444210338722634
"on"	"4"	0.00708040033230051	0.208468166579754	Inf	-0.401509698087114	0.415670498751715
"off"	"5"	-0.0439970376267138	0.208613103922405	Inf	-0.45287120801774	0.364877132764312
"on"	"5"	-0.258644451948621	0.209446077343843	Inf	-0.669151220245744	0.151862316348503
"off"	"6"	-0.0985129781134095	0.208622958785383	Inf	-0.507406463680944	0.310380507454125
"on"	"6"	-0.602452950405723	0.212686854478867	Inf	-1.01931152516941	-0.185594375642032
"off"	"7"	-0.364681042699287	0.2108397151708	Inf	-0.777919290944738	0.0485572055461628
"on"	"7"	-0.915408815563463	0.215746257241684	Inf	-1.33826370955648	-0.492553921570448
"off"	"8"	-0.579889642877208	0.212353312421025	Inf	-0.9960944872202	-0.163684798534217
"on"	"8"	-0.95050157567473	0.215300914033047	Inf	-1.37248361301806	-0.528519538331405
"off"	"9"	-0.848755885906351	0.215280592183781	Inf	-1.27069809315702	-0.426813678655684
"on"	"9"	-1.35582957134363	0.220890257529249	Inf	-1.78876652063674	-0.922892622050528
"off"	"10"	-0.89361699602863	0.215749604034327	Inf	-1.31647844961469	-0.470755542442571
"on"	"10"	-1.45259049049844	0.222716230293839	Inf	-1.88910628064689	-1.01607470034999
"off"	"11"	-0.886500753350745	0.215889433361026	Inf	-1.30963626738111	-0.463365239320375
"on"	"11"	-1.60862795442027	0.225765132188047	Inf	-2.05111948247376	-1.16613642636677
"off"	"12"	-0.967547282210664	0.216701383562516	Inf	-1.39227418939319	-0.542820375028133
"on"	"12"	-1.73845696918341	0.228125949350679	Inf	-2.18557561384975	-1.29133832451708
"off"	"13"	-1.14551540571102	0.219320513942219	Inf	-1.57537571410858	-0.715655097313454
"on"	"13"	-1.85245354874755	0.231337518874149	Inf	-2.30586675401374	-1.39904034348137
"off"	"14"	-1.30492486007196	0.22230750514681	Inf	-1.74063956365266	-0.869210156491256
"on"	"14"	-1.70488266495866	0.227510018679165	Inf	-2.15079410769186	-1.25897122222546
"off"	"15"	-1.36329177115503	0.222871547055712	Inf	-1.80011197656295	-0.926471565747109
"on"	"15"	-1.83131679697973	0.23030647210154	Inf	-2.28270918770523	-1.37992440625423
"off"	"16"	-1.36563475689757	0.223061598796073	Inf	-1.8028274568718	-0.928442056923347
"on"	"16"	-1.90432228008734	0.23160746458374	Inf	-2.35826456922211	-1.45037999095258
"off"	"17"	-1.28703770181473	0.221799793582465	Inf	-1.72175730901478	-0.852318094614684
"on"	"17"	-1.93163181597262	0.232335607361102	Inf	-2.38700123872662	-1.47626239321863
"off"	"18"	-1.5106893271899	0.226606389789195	Inf	-1.95482968984336	-1.06654896453643
"on"	"18"	-2.10393902425128	0.237341454543944	Inf	-2.56911972719576	-1.6387583213068
"off"	"19"	-1.62143877817515	0.22831933869531	Inf	-2.06893645899196	-1.17394109735834
"on"	"19"	-2.21699434740474	0.241702652668846	Inf	-2.69072284160348	-1.74326585320601
"off"	"20"	-1.6261293297523	0.228933053821131	Inf	-2.07482987011248	-1.17742878939211
"on"	"20"	-2.3105468628637	0.245256242572571	Inf	-2.79124026528956	-1.82985346043784
