"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	-0.102860849388348	0.124874863262496	Inf	-0.823711407572287	0.410103556077845	0.585862222968349
"off - on"	"2"	-0.086318806131597	0.133254834660372	Inf	-0.647772415549491	0.51713215904664	0.6464151988083
"off - on"	"3"	-0.121131491136412	0.135520476035992	Inf	-0.893824274231747	0.371415919273078	0.583148241570808
"off - on"	"4"	-0.189471145209618	0.136676729689057	Inf	-1.3862721594281	0.165663814677942	0.439713489388214
"off - on"	"5"	-0.069043048388434	0.138400381925515	Inf	-0.498864579908401	0.617874788351774	0.72691151570797
"off - on"	"6"	-0.189420171860966	0.139944990963979	Inf	-1.35353306007016	0.175885395755285	0.439713489388214
"off - on"	"7"	0.0335993330643534	0.140111174492136	Inf	0.239804806334267	0.810481580763933	0.820580215032364
"off - on"	"8"	0.134090189201052	0.142946845614958	Inf	0.938042309532579	0.34822266738168	0.583148241570808
"off - on"	"9"	0.126792439162468	0.144138863381688	Inf	0.879654773096929	0.379046357021025	0.583148241570808
"off - on"	"10"	0.148184608093438	0.146499204079323	Inf	1.01150452676318	0.311775015632009	0.583148241570808
"off - on"	"11"	0.226074549694086	0.149270183140548	Inf	1.51453254050892	0.129890827112437	0.432969423708123
"off - on"	"12"	0.271889930231154	0.152322892156116	Inf	1.78495777215478	0.0742681666417398	0.432969423708123
"off - on"	"13"	0.33521417624207	0.153196630670681	Inf	2.18813021392529	0.0286601186339811	0.286601186339811
"off - on"	"14"	0.250429077675523	0.156741016817896	Inf	1.59772523337956	0.110104140449341	0.432969423708123
"off - on"	"15"	0.0700373644802729	0.158545283361247	Inf	0.441749908893171	0.65867018966587	0.731855766295411
"off - on"	"16"	0.277592307402863	0.162001099759279	Inf	1.71352112927223	0.0866167095797236	0.432969423708123
"off - on"	"17"	0.189661141314016	0.166759906982253	Inf	1.13733057751226	0.255400116691745	0.567555814870544
"off - on"	"18"	0.129242490889284	0.170925027559037	Inf	0.756135556828527	0.449567925427742	0.599423900570323
"off - on"	"19"	-0.039262736136409	0.173117054338218	Inf	-0.226798776622559	0.820580215032364	0.820580215032364
"off - on"	"20"	0.435522605395473	0.17313360384584	Inf	2.51552902337358	0.0118853890924142	0.237707781848283
