"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.94951394645461	0.255973693334717	Inf	1.44781472652886	2.45121316638035
"on"	"1"	2.05237479584295	0.252486701629546	Inf	1.55750995407373	2.54723963761217
"off"	"2"	0.911974174833404	0.258132716630127	Inf	0.406043347006871	1.41790500265994
"on"	"2"	0.998292980965001	0.253730909577347	Inf	0.500989536428812	1.49559642550119
"off"	"3"	0.37150531972787	0.259012179620313	Inf	-0.136149223885163	0.879159863340903
"on"	"3"	0.492636810864282	0.254017559888797	Inf	-0.00522845795850591	0.990502079687069
"off"	"4"	0.146883973835518	0.259220388604541	Inf	-0.361178651887859	0.654946599558895
"on"	"4"	0.336355119045136	0.254387614612725	Inf	-0.162235443708861	0.834945681799133
"off"	"5"	-0.00304744304702487	0.259549428300705	Inf	-0.511754974724369	0.505660088630319
"on"	"5"	0.0659956053414092	0.255005796380203	Inf	-0.433806571412742	0.565797782095561
"off"	"6"	-0.314751796431178	0.260015326414495	Inf	-0.824372471632013	0.194868878769657
"on"	"6"	-0.125331624570212	0.255510833046434	Inf	-0.626123655001049	0.375460405860625
"off"	"7"	-0.2562175792604	0.259627170755185	Inf	-0.765077483348593	0.252642324827793
"on"	"7"	-0.289816912324754	0.256099043297192	Inf	-0.791761813662415	0.212127989012907
"off"	"8"	-0.418558651767193	0.260366890475097	Inf	-0.928868379865068	0.0917510763306827
"on"	"8"	-0.552648840968245	0.257069431868395	Inf	-1.05649566895647	-0.0488020129800179
"off"	"9"	-0.522943486620137	0.260724905576178	Inf	-1.03395491142205	-0.011932061818222
"on"	"9"	-0.649735925782606	0.257420152945464	Inf	-1.15427015445051	-0.145201697114704
"off"	"10"	-0.643894109350137	0.261617504113128	Inf	-1.15665499513713	-0.131133223563147
"on"	"10"	-0.792078717443575	0.257925216846986	Inf	-1.29760285316835	-0.286554581718799
"off"	"11"	-0.7254284642565	0.262147554796347	Inf	-1.23922823029258	-0.211628698220419
"on"	"11"	-0.951503013950586	0.258960011816022	Inf	-1.45905531054606	-0.443950717355115
"off"	"12"	-0.856585904322366	0.263028506122485	Inf	-1.37211230322981	-0.341059505414922
"on"	"12"	-1.12847583455352	0.259969899250419	Inf	-1.63800747414885	-0.618944194958192
"off"	"13"	-0.85354315804556	0.26297634941259	Inf	-1.36896733168006	-0.338118984411063
"on"	"13"	-1.18875733428763	0.260524676522224	Inf	-1.69937631735514	-0.678138351220124
"off"	"14"	-1.04805359946755	0.264298678806714	Inf	-1.56606949109023	-0.530037707844872
"on"	"14"	-1.29848267714307	0.261401755258017	Inf	-1.81082070294434	-0.786144651341808
"off"	"15"	-1.22094509860679	0.265701937628013	Inf	-1.74171132698021	-0.700178870233381
"on"	"15"	-1.29098246308707	0.261121298946678	Inf	-1.80277080461887	-0.779194121555261
"off"	"16"	-1.23278120197944	0.265917229831345	Inf	-1.75396939531754	-0.711593008641345
"on"	"16"	-1.5103735093823	0.263072353615569	Inf	-2.025985847797	-0.994761170967603
"off"	"17"	-1.43186785053921	0.267967623056238	Inf	-1.95707474075224	-0.906660960326177
"on"	"17"	-1.62152899185322	0.264111953877583	Inf	-2.13917890933979	-1.10387907436666
"off"	"18"	-1.57623995979343	0.269188735605581	Inf	-2.10384018662424	-1.04863973296261
"on"	"18"	-1.70548245068271	0.265680068838869	Inf	-2.22620581701702	-1.18475908434841
"off"	"19"	-1.72872912616847	0.271232274022928	Inf	-2.2603346146983	-1.19712363763863
"on"	"19"	-1.68946639003206	0.26512398457041	Inf	-2.20909985122782	-1.1698329288363
"off"	"20"	-1.28266165623905	0.270174523032393	Inf	-1.81219399092283	-0.753129321555271
"on"	"20"	-1.71818426163452	0.265735800007187	Inf	-2.23901685905155	-1.1973516642175
