"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	-0.184535244354784	0.112529173150343	Inf	-1.63988803248593	0.101028449616562	0.101028449616562
"off - on"	"2"	-0.506722295827895	0.121928099028208	Inf	-4.15591073646334	3.23994311959454e-05	3.41046644167846e-05
"off - on"	"3"	-0.665322854218737	0.126355656688553	Inf	-5.26547739654151	1.39825523501367e-07	1.55361692779297e-07
"off - on"	"4"	-1.03656864512231	0.130572352304364	Inf	-7.93865337361829	2.04388074985051e-15	2.40456558805942e-15
"off - on"	"5"	-1.60857960076005	0.138228160791251	Inf	-11.6371337906267	2.66832583570414e-31	4.44720972617356e-31
"off - on"	"6"	-1.69036957084031	0.141565366328988	Inf	-11.9405587303889	7.2732962127994e-33	1.61628804728876e-32
"off - on"	"7"	-1.54920140962222	0.140122266262606	Inf	-11.0560687529763	2.04881936819132e-28	2.92688481170189e-28
"off - on"	"8"	-1.73788199648573	0.147689900630075	Inf	-11.7671011292686	5.7672389511663e-32	1.15344779023326e-31
"off - on"	"9"	-2.10735123607554	0.158268325543772	Inf	-13.3150535891195	1.89236626082083e-40	7.56946504328333e-40
"off - on"	"10"	-2.25622647301896	0.167405125609652	Inf	-13.4776427233174	2.1176503592524e-41	1.41176690616826e-40
"off - on"	"11"	-2.53122938326913	0.182193815770512	Inf	-13.8930587328904	6.97901283151694e-44	1.24928335761229e-42
"off - on"	"12"	-2.55638476008152	0.184559177749923	Inf	-13.8513011991493	1.24928335761229e-43	1.24928335761229e-42
"off - on"	"13"	-2.61781261084816	0.196396829697837	Inf	-13.3291999411383	1.56567699380518e-40	7.56946504328333e-40
"off - on"	"14"	-3.31460193524135	0.251095627460303	Inf	-13.200556173625	8.70896646713071e-40	2.9029888223769e-39
"off - on"	"15"	-2.41973787090271	0.194180147812533	Inf	-12.4613040939633	1.21369519813186e-35	3.46770056609102e-35
"off - on"	"16"	-2.51121527601845	0.20938312650799	Inf	-11.9933985030194	3.8478759844707e-33	9.61968996117675e-33
"off - on"	"17"	-2.50033284422982	0.222031790543158	Inf	-11.2611479559447	2.04082729546564e-29	3.13973430071637e-29
"off - on"	"18"	-2.63047267451235	0.225596212146145	Inf	-11.6600923813751	2.03821130537228e-31	3.70583873704051e-31
"off - on"	"19"	-1.42287617043113	0.170060885336399	Inf	-8.36686324204725	5.91723067906986e-17	7.39653834883733e-17
"off - on"	"20"	-1.72768849863166	0.187005082678394	Inf	-9.23872481906223	2.49452271539159e-20	3.32603028718879e-20
