"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.83515201962903	0.117144829335155	Inf	1.60555237315703	2.06475166610102
"on"	"1"	2.01968726398381	0.123825207037582	Inf	1.77699431781193	2.26238021015569
"off"	"2"	0.418481433682032	0.123491206944609	Inf	0.176443115663215	0.660519751700848
"on"	"2"	0.925203729509927	0.125934006369277	Inf	0.678377612597305	1.17202984642255
"off"	"3"	-0.0619301924271698	0.127385363345989	Inf	-0.311600916742857	0.187740531888517
"on"	"3"	0.603392661791568	0.126328313736401	Inf	0.355793716640544	0.850991606942591
"off"	"4"	-0.613316377545958	0.132040772230268	Inf	-0.872111535608139	-0.354521219483776
"on"	"4"	0.423252267576355	0.126099571387585	Inf	0.176101649190752	0.670402885961959
"off"	"5"	-1.17074583887128	0.139987878561176	Inf	-1.44511703912335	-0.896374638619203
"on"	"5"	0.437833761888772	0.126042496419863	Inf	0.190795008384322	0.684872515393222
"off"	"6"	-1.39781753354138	0.1435094412339	Inf	-1.67909086980129	-1.11654419728147
"on"	"6"	0.292552037298928	0.12618596299276	Inf	0.0452320944786139	0.539871980119241
"off"	"7"	-1.38467864873571	0.142070101475154	Inf	-1.66313093090696	-1.10622636656445
"on"	"7"	0.164522760886513	0.126593385637921	Inf	-0.0835957156448014	0.412641237417828
"off"	"8"	-1.69487991013747	0.149077573545391	Inf	-1.98706658518906	-1.40269323508588
"on"	"8"	0.0430020863482538	0.127442975711584	Inf	-0.206781556129064	0.292785728825572
"off"	"9"	-2.05802185636903	0.159880320928616	Inf	-2.37138152722582	-1.74466218551224
"on"	"9"	0.0493293797065132	0.127179865030416	Inf	-0.199938575311767	0.298597334724793
"off"	"10"	-2.26410242475387	0.168430269336162	Inf	-2.59421968655913	-1.93398516294861
"on"	"10"	-0.00787595173491168	0.127768381549879	Inf	-0.258297377935646	0.242545474465822
"off"	"11"	-2.66832749321114	0.182597464811279	Inf	-3.02621194790956	-2.31044303851271
"on"	"11"	-0.13709810994201	0.128908366339606	Inf	-0.389753865273533	0.115557645389514
"off"	"12"	-2.72497107940206	0.185112288369939	Inf	-3.08778449770293	-2.36215766110119
"on"	"12"	-0.168586319320546	0.128926664881556	Inf	-0.42127793913526	0.0841053004941679
"off"	"13"	-2.86677399799435	0.196377076374104	Inf	-3.25166599507686	-2.48188200091183
"on"	"13"	-0.248961387146188	0.129833404567303	Inf	-0.503430184088319	0.00550740979594372
"off"	"14"	-3.65881606531009	0.250661374659986	Inf	-4.15010333195897	-3.16752879866122
"on"	"14"	-0.344214130068744	0.130875148483197	Inf	-0.600724707567142	-0.0877035525703459
"off"	"15"	-2.77392462666032	0.193458659093431	Inf	-3.15309663098086	-2.39475262233978
"on"	"15"	-0.354186755757606	0.130782834621989	Inf	-0.610516401412762	-0.0978571101024497
"off"	"16"	-2.98492372540456	0.207928395806462	Inf	-3.39245589254842	-2.57739155826071
"on"	"16"	-0.473708449386116	0.132213287401867	Inf	-0.732841730971419	-0.214575167800813
"off"	"17"	-3.14333815460379	0.219314130649087	Inf	-3.57318595197671	-2.71349035723086
"on"	"17"	-0.643005310373962	0.134436085122186	Inf	-0.906495195436008	-0.379515425311916
"off"	"18"	-3.18255215569076	0.223874996417217	Inf	-3.62133908570754	-2.74376522567398
"on"	"18"	-0.55207948117841	0.13307063055576	Inf	-0.812893124467735	-0.291265837889085
"off"	"19"	-2.14037057284634	0.165921985135596	Inf	-2.4655716879555	-1.81516945773718
"on"	"19"	-0.717494402415211	0.135342311792012	Inf	-0.982760459111946	-0.452228345718476
"off"	"20"	-2.52559871224153	0.182222431775692	Inf	-2.8827481156972	-2.16844930878587
"on"	"20"	-0.79791021360987	0.136789690879742	Inf	-1.06601308119053	-0.529807346029209
