"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	0.399813190778635	0.152592946491254	Inf	2.62012891140778	0.00878965337325442	0.00878965337325442
"off - on"	"2"	1.05919349483824	0.222636135508092	Inf	4.7575093433103	1.95996187849493e-06	2.17773542054992e-06
"off - on"	"3"	1.0549219696654	0.258721020719574	Inf	4.07744978251621	4.55323597981662e-05	4.79287997875433e-05
"off - on"	"4"	1.73575428516763	0.244069259999484	Inf	7.11172838878319	1.14598624455208e-12	2.29197248910416e-11
"off - on"	"5"	1.38495772658662	0.212660305616179	Inf	6.51253520290841	7.38928890987827e-11	1.49276652185909e-10
"off - on"	"6"	1.5976729775076	0.237340456648768	Inf	6.73156612263515	1.6784652343776e-11	8.39232617188801e-11
"off - on"	"7"	1.53968087566685	0.25860138750596	Inf	5.9538770867243	2.61863501150045e-09	4.36439168583408e-09
"off - on"	"8"	1.66333571862975	0.256219876936237	Inf	6.49182935578289	8.48002806466526e-11	1.54182328448459e-10
"off - on"	"9"	1.77576894331718	0.268607074424938	Inf	6.6110281984156	3.81659770858836e-11	1.27219923619612e-10
"off - on"	"10"	2.0271290707166	0.289747564490525	Inf	6.99619019846113	2.63016427237944e-12	2.63016427237944e-11
"off - on"	"11"	2.00200278233554	0.304671691296396	Inf	6.57101673547975	4.99728418394372e-11	1.42779548112678e-10
"off - on"	"12"	1.53292951490112	0.310931555779511	Inf	4.9301188200665	8.21796178422741e-07	9.66819033438519e-07
"off - on"	"13"	2.11369617337769	0.324633258720184	Inf	6.51102780322203	7.46383260929544e-11	1.49276652185909e-10
"off - on"	"14"	2.26426863597043	0.341219735585438	Inf	6.63580795549698	3.22729807401422e-11	1.27219923619612e-10
"off - on"	"15"	1.75705423529283	0.327121128041928	Inf	5.37126490670338	7.81862515276254e-08	1.04248335370167e-07
"off - on"	"16"	2.36068871391416	0.360828576645927	Inf	6.54241062572672	6.05350135433333e-11	1.49276652185909e-10
"off - on"	"17"	2.5596831051641	0.374895566344528	Inf	6.82772306464612	8.62729204610824e-12	5.75152803073883e-11
"off - on"	"18"	2.08969199666151	0.365382020165255	Inf	5.71919766527204	1.07028229299865e-08	1.64658814307485e-08
"off - on"	"19"	1.9240826594498	0.356313904962766	Inf	5.39996512246936	6.6653854229922e-08	9.52197917570314e-08
"off - on"	"20"	1.92761212712489	0.361790855413383	Inf	5.32797360210333	9.93145537779683e-08	1.2414319222246e-07
