"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	0.572656852886182	0.314989506474282	Inf	-0.0447112353114576	1.19002494108382
"on"	"1"	0.172843662107547	0.314180751149914	Inf	-0.442939294782025	0.78862661899712
"off"	"2"	0.074283893121479	0.320133611786787	Inf	-0.55316645622135	0.701734242464308
"on"	"2"	-0.984909601716764	0.350019472202336	Inf	-1.67093516112106	-0.298884042312468
"off"	"3"	0.382278062842742	0.317348836476901	Inf	-0.239714227187674	1.00427035287316
"on"	"3"	-0.672643906822656	0.375763498494762	Inf	-1.40912683057716	0.0638390169318491
"off"	"4"	0.300663087824061	0.317063759052405	Inf	-0.320770460721539	0.92209663636966
"on"	"4"	-1.43509119734357	0.365462573976718	Inf	-2.15138468003524	-0.7187977146519
"off"	"5"	0.360932276678297	0.316839537625249	Inf	-0.260061805945516	0.981926359302109
"on"	"5"	-1.02402544990833	0.345484755520539	Inf	-1.70116312793621	-0.346887771880445
"off"	"6"	0.279189169058455	0.317306130830041	Inf	-0.342719419442179	0.901097757559089
"on"	"6"	-1.31848380844915	0.360706046886059	Inf	-2.02545466935164	-0.611512947546656
"off"	"7"	0.327051368666136	0.317970036465885	Inf	-0.296158450969886	0.950261188302158
"on"	"7"	-1.21262950700071	0.37735075253659	Inf	-1.95222339151151	-0.473035622489908
"off"	"8"	0.209536182061739	0.31927237530696	Inf	-0.416226174798457	0.835298538921935
"on"	"8"	-1.45379953656801	0.373947313300603	Inf	-2.1867228027527	-0.720876270383309
"off"	"9"	0.450072371845369	0.317522751843709	Inf	-0.17226078604035	1.07240552973109
"on"	"9"	-1.32569657147181	0.386942993481946	Inf	-2.08409090276655	-0.567302240177083
"off"	"10"	0.319434616338224	0.32097193317949	Inf	-0.309658812741774	0.948528045418222
"on"	"10"	-1.70769445437837	0.399917448522348	Inf	-2.49151825027133	-0.92387065848542
"off"	"11"	0.267376236118649	0.322837802563062	Inf	-0.365374229753004	0.900126701990303
"on"	"11"	-1.73462654621689	0.410745100903042	Inf	-2.53967215081312	-0.929580941620654
"off"	"12"	0.260252261728811	0.324313955874947	Inf	-0.375391411469797	0.895895934927419
"on"	"12"	-1.27267725317231	0.416254981306861	Inf	-2.08852202491915	-0.456832481425472
"off"	"13"	0.325937931218116	0.322178123920876	Inf	-0.305519588273483	0.957395450709716
"on"	"13"	-1.78775824215957	0.427949878552613	Inf	-2.62652459131099	-0.948991893008164
"off"	"14"	0.249420138634221	0.323129743342754	Inf	-0.383902520651248	0.88274279791969
"on"	"14"	-2.01484849733621	0.440582101075161	Inf	-2.87837354767651	-1.15132344699591
"off"	"15"	0.0915140804178224	0.325729929509767	Inf	-0.546904850108092	0.729933010943737
"on"	"15"	-1.66554015487501	0.430327635840864	Inf	-2.50896682267537	-0.822113487074646
"off"	"16"	0.182892755568487	0.324000827626827	Inf	-0.452137197541263	0.817922708678237
"on"	"16"	-2.17779595834567	0.456029338230287	Inf	-3.07159703717067	-1.28399487952067
"off"	"17"	0.371772920975383	0.322522042255341	Inf	-0.260358666065392	1.00390450801616
"on"	"17"	-2.18791018418872	0.467654358276411	Inf	-3.10449588362368	-1.27132448475376
"off"	"18"	0.0703988790103387	0.328635085143208	Inf	-0.573714051926604	0.714511809947281
"on"	"18"	-2.01929311765117	0.458615236219778	Inf	-2.91816246340326	-1.12042377189908
"off"	"19"	-0.0109387248015913	0.33233514723425	Inf	-0.662303644177537	0.640426194574354
"on"	"19"	-1.93502138425139	0.446964496470157	Inf	-2.81105569970098	-1.0589870688018
"off"	"20"	0.207543368312482	0.331679131393716	Inf	-0.44253578364273	0.857622520267693
"on"	"20"	-1.72006875881241	0.450789778277949	Inf	-2.60360048883599	-0.836537028788833
