"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	0.0876236968932022	0.0963086621550333	Inf	0.909821556363742	0.362916624330368	0.362916624330368
"off - on"	"2"	0.152316879599776	0.108279254108147	Inf	1.40670418220322	0.159515125096024	0.167910657995815
"off - on"	"3"	-0.169580675570011	0.112613396761423	Inf	-1.50586591335376	0.132101598487737	0.146779553875263
"off - on"	"4"	-0.181029682673414	0.115130940357386	Inf	-1.57238082231819	0.115862259153049	0.136308540180058
"off - on"	"5"	-0.442899255418114	0.116659941490373	Inf	-3.79649817889429	0.00014675444026271	0.0002096492003753
"off - on"	"6"	-0.293234614670997	0.119286528099014	Inf	-2.4582374836796	0.0139620811818527	0.0174526014773159
"off - on"	"7"	-0.587010867207629	0.12269384070055	Inf	-4.78435481240093	1.71537436396252e-06	2.85895727327086e-06
"off - on"	"8"	-0.499733576537363	0.12892977161201	Inf	-3.87601381968794	0.000106181655998179	0.000163356393843353
"off - on"	"9"	-0.727143226316325	0.134680178190752	Inf	-5.39903671115173	6.6999664407901e-08	1.67499161019752e-07
"off - on"	"10"	-0.727389794340581	0.138969848758404	Inf	-5.23415547213507	1.65740904774453e-07	3.31481809548905e-07
"off - on"	"11"	-0.701617510053133	0.139161061291785	Inf	-5.04176601946159	4.61255068873397e-07	8.38645579769812e-07
"off - on"	"12"	-0.805864652877456	0.141492404290304	Inf	-5.69546228943879	1.23038079448824e-08	3.51537369853783e-08
"off - on"	"13"	-1.00912599376143	0.153482338500266	Inf	-6.57486720375765	4.86966094916043e-11	4.86966094916043e-10
"off - on"	"14"	-1.01866966955927	0.160602590334611	Inf	-6.3427972577335	2.25630281350025e-10	1.50420187566683e-09
"off - on"	"15"	-1.38269663023906	0.170512944850382	Inf	-8.10904199357017	5.10204132045731e-16	1.02040826409146e-14
"off - on"	"16"	-1.04331810392101	0.170713986667768	Inf	-6.11149750694678	9.87005446888202e-10	3.29001815629401e-09
"off - on"	"17"	-1.04905521010989	0.170640901724278	Inf	-6.14773597367038	7.85967198581834e-10	3.14386879432734e-09
"off - on"	"18"	-1.07758779464195	0.173908079303912	Inf	-6.19630668658481	5.78034456680981e-10	2.8901722834049e-09
"off - on"	"19"	-0.944824068946559	0.177199271626745	Inf	-5.33198618861566	9.71443288853619e-08	2.15876286411915e-07
"off - on"	"20"	-0.598653047219047	0.167330392018066	Inf	-3.57767073870486	0.00034666976587199	0.000462226354495987
