"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.24142371464258	0.0899737176907094	Inf	1.06507846841361	1.41776896087154
"on"	"1"	1.15380001774938	0.092526184354826	Inf	0.972452028787003	1.33514800671175
"off"	"2"	0.20081512775642	0.0961239015680291	Inf	0.0124157426296099	0.38921451288323
"on"	"2"	0.0484982481566437	0.0990635745328113	Inf	-0.145662790107466	0.242659286420753
"off"	"3"	-0.259994856833677	0.100106464136374	Inf	-0.456199921160621	-0.0637897925067337
"on"	"3"	-0.0904141812636668	0.100018043765772	Inf	-0.286445944848731	0.105617582321398
"off"	"4"	-0.433285512857376	0.101822299416747	Inf	-0.632853552537253	-0.233717473177499
"on"	"4"	-0.252255830183962	0.101311794662559	Inf	-0.450823298931695	-0.0536883614362289
"off"	"5"	-0.62753287812756	0.104348795331237	Inf	-0.832052758806925	-0.423012997448195
"on"	"5"	-0.184633622709446	0.100538730146085	Inf	-0.381685912847163	0.0124186674282717
"off"	"6"	-0.702334880711069	0.1053588142092	Inf	-0.908834362014947	-0.49583539940719
"on"	"6"	-0.409100266040072	0.1026670466357	Inf	-0.610323979845138	-0.207876552235006
"off"	"7"	-0.995132170866282	0.110093120422199	Inf	-1.21091072183942	-0.779353619893141
"on"	"7"	-0.408121303658653	0.101852917147794	Inf	-0.607749352988672	-0.208493254328634
"off"	"8"	-1.21958324221744	0.113661062775307	Inf	-1.44235483170159	-0.996811652733295
"on"	"8"	-0.71984966568008	0.105929416983329	Inf	-0.927467507870731	-0.51223182348943
"off"	"9"	-1.52272617192458	0.118862062508101	Inf	-1.7556915335686	-1.28976081028055
"on"	"9"	-0.79558294560825	0.107604680077397	Inf	-1.0064842431279	-0.584681648088597
"off"	"10"	-1.66080474566093	0.122725802538468	Inf	-1.9013428986101	-1.42026659271176
"on"	"10"	-0.933414951320352	0.108986561332636	Inf	-1.14702468633118	-0.71980521630952
"off"	"11"	-1.63849161853387	0.122917269940988	Inf	-1.87940504069619	-1.39757819637154
"on"	"11"	-0.936874108480735	0.108955715403601	Inf	-1.15042338658159	-0.723324830379882
"off"	"12"	-1.76786387397867	0.125812493605779	Inf	-2.01445183025118	-1.52127591770617
"on"	"12"	-0.961999221101218	0.108945655277368	Inf	-1.17552878171698	-0.74846966048546
"off"	"13"	-2.11278435140518	0.137100931283803	Inf	-2.38149723896833	-1.84407146384203
"on"	"13"	-1.10365835764375	0.111642397490781	Inf	-1.32247343587339	-0.884843279414117
"off"	"14"	-2.27056214671477	0.143158887001603	Inf	-2.55114840930475	-1.98997588412479
"on"	"14"	-1.2518924771555	0.114323873104162	Inf	-1.47596315101279	-1.02782180329822
"off"	"15"	-2.55021471451824	0.15513060468546	Inf	-2.85426511260166	-2.24616431643482
"on"	"15"	-1.16751808427918	0.11296693353417	Inf	-1.38892920545008	-0.946106963108273
"off"	"16"	-2.45508977396403	0.151076822944678	Inf	-2.75119490583433	-2.15898464209372
"on"	"16"	-1.41177167004301	0.118725782052027	Inf	-1.64446992690134	-1.17907341318469
"off"	"17"	-2.42862418061857	0.151816436762842	Inf	-2.72617892893494	-2.13106943230219
"on"	"17"	-1.37956897050867	0.117728931827398	Inf	-1.61031343682874	-1.1488245041886
"off"	"18"	-2.50679071056697	0.154542562399538	Inf	-2.8096885669486	-2.20389285418534
"on"	"18"	-1.42920291592501	0.118901919539459	Inf	-1.66224639591503	-1.196159435935
"off"	"19"	-2.49737222879575	0.155658431145903	Inf	-2.80245714773173	-2.19228730985977
"on"	"19"	-1.55254815984919	0.12222435268839	Inf	-1.79210348915216	-1.31299283054622
"off"	"20"	-2.21010896556709	0.142868789123929	Inf	-2.49012664676484	-1.93009128436935
"on"	"20"	-1.61145591834805	0.123927545783088	Inf	-1.85434944477534	-1.36856239192076
