"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	-0.0163327188467942	0.0782651903395092	Inf	-0.20868433049155	0.83469467328605	0.83469467328605
"off - on"	"2"	0.0863702380051471	0.0844273103089098	Inf	1.02301302373756	0.306301688067144	0.340335208963493
"off - on"	"3"	0.0391146667636206	0.0869507589002852	Inf	0.449848480431059	0.652819698080064	0.687178629557962
"off - on"	"4"	-0.150848923506053	0.0903546047095828	Inf	-1.66952114937485	0.0950141425406672	0.111781344165491
"off - on"	"5"	-0.271466311091221	0.0933108289916183	Inf	-2.90926909582602	0.00362274887640692	0.00452843609550865
"off - on"	"6"	-0.406258970594495	0.0967469410702969	Inf	-4.19919189278868	2.67869245071801e-05	3.57158993429068e-05
"off - on"	"7"	-0.49595008903261	0.101592430664051	Inf	-4.88176221191747	1.05141995601944e-06	1.5020285085992e-06
"off - on"	"8"	-0.615748942940245	0.105590381178277	Inf	-5.83148707362486	5.4935568224259e-09	1.09871136448518e-08
"off - on"	"9"	-0.546111147067973	0.10733682402503	Inf	-5.08782658727283	3.6219031936841e-07	5.572158759514e-07
"off - on"	"10"	-0.622477525897835	0.113329426786071	Inf	-5.49263808660101	3.95973720297974e-08	6.59956200496623e-08
"off - on"	"11"	-0.757765424060248	0.118331315157782	Inf	-6.40376068710005	1.51595667161192e-10	6.06382668644768e-10
"off - on"	"12"	-0.918343539234904	0.124373275096086	Inf	-7.38376904946361	1.53870261692775e-13	1.53870261692775e-12
"off - on"	"13"	-0.759631936551248	0.126292971310284	Inf	-6.01483937443313	1.80065155075602e-09	4.50162887689005e-09
"off - on"	"14"	-0.987752068659787	0.132523046975533	Inf	-7.45343614716428	9.09400216192266e-14	1.53870261692775e-12
"off - on"	"15"	-0.959158465150756	0.136191786210956	Inf	-7.04270420291761	1.88544217322526e-12	1.25696144881684e-11
"off - on"	"16"	-0.910923932638067	0.14423786244682	Inf	-6.31542867583691	2.69413620748835e-10	8.54881057647425e-10
"off - on"	"17"	-0.819041752473063	0.143358626240409	Inf	-5.71323661472279	1.10847382535683e-08	2.01540695519423e-08
"off - on"	"18"	-0.964516362658983	0.153117563671694	Inf	-6.29918828075822	2.99208370176599e-10	8.54881057647425e-10
"off - on"	"19"	-0.911894353126621	0.154347180967326	Inf	-5.90807261533114	3.46133450355087e-09	7.69185445233527e-09
"off - on"	"20"	-1.10554885198416	0.163095921157994	Inf	-6.77851931633034	1.21413746099252e-11	6.07068730496259e-11
