"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.44097505247692	0.178519456337401	Inf	1.09108334751594	1.79086675743789
"on"	"1"	1.45730777132371	0.178716245878725	Inf	1.1070303659492	1.80758517669822
"off"	"2"	0.628205064087609	0.179734089233066	Inf	0.275932722396692	0.980477405778526
"on"	"2"	0.541834826082462	0.17987000680155	Inf	0.18929609085245	0.894373561312474
"off"	"3"	0.285720183110215	0.180415643926231	Inf	-0.0678879812328007	0.639328347453231
"on"	"3"	0.246605516346595	0.180381344176264	Inf	-0.106935421721806	0.600146454414995
"off"	"4"	-0.135131646927414	0.181470233463941	Inf	-0.490806768782814	0.220543474927985
"on"	"4"	0.015717276578639	0.180975438522348	Inf	-0.338988065011505	0.370422618168783
"off"	"5"	-0.421735065485798	0.182440480051121	Inf	-0.779311835708194	-0.0641582952634019
"on"	"5"	-0.150268754394577	0.181489021444116	Inf	-0.505980700014461	0.205443191225308
"off"	"6"	-0.749072531307946	0.183871500654933	Inf	-1.10945405037495	-0.388691012240945
"on"	"6"	-0.342813560713451	0.181931322950811	Inf	-0.699392401356766	0.0137652799298637
"off"	"7"	-1.07136953413948	0.18562055158785	Inf	-1.43517913004213	-0.707559938236837
"on"	"7"	-0.575419445106873	0.1828801832187	Inf	-0.93385801770161	-0.216980872512135
"off"	"8"	-1.33204078177927	0.187350430029347	Inf	-1.69924087712489	-0.964840686433663
"on"	"8"	-0.716291838839029	0.183499848250268	Inf	-1.07594493257812	-0.356638745099939
"off"	"9"	-1.43275122396821	0.187943418207099	Inf	-1.80111355478547	-1.06438889315095
"on"	"9"	-0.886640076900236	0.184049786638378	Inf	-1.24737103007374	-0.525909123726734
"off"	"10"	-1.71122153304184	0.190259301696345	Inf	-2.08412291209041	-1.33832015399326
"on"	"10"	-1.088744007144	0.185374014555653	Inf	-1.45207039934268	-0.725417614945318
"off"	"11"	-1.93875459642653	0.192861732370647	Inf	-2.316756645869	-1.56075254698406
"on"	"11"	-1.18098917236629	0.18590339175903	Inf	-1.54535312481782	-0.816625219914748
"off"	"12"	-2.16567084057631	0.196230147468497	Inf	-2.55027486229554	-1.78106681885707
"on"	"12"	-1.2473273013414	0.186363097200775	Inf	-1.61259225990226	-0.882062342780546
"off"	"13"	-2.18462931707688	0.196212131437913	Inf	-2.56919802802503	-1.80006060612873
"on"	"13"	-1.42499738052563	0.187744220962306	Inf	-1.79296929191728	-1.05702546913399
"off"	"14"	-2.43553859636536	0.200363085768411	Inf	-2.82824302830276	-2.04283416442797
"on"	"14"	-1.44778652770558	0.18777991425448	Inf	-1.81582839666438	-1.07974465874677
"off"	"15"	-2.5427336660625	0.201793867422489	Inf	-2.93824237851163	-2.14722495361337
"on"	"15"	-1.58357520091174	0.188988302510251	Inf	-1.95398546733119	-1.21316493449229
"off"	"16"	-2.694901818217	0.205200964697704	Inf	-3.09708831861737	-2.29271531781662
"on"	"16"	-1.78397788557893	0.19124619192706	Inf	-2.1588135339364	-1.40914223722146
"off"	"17"	-2.64934016730097	0.203949897662741	Inf	-3.04907462137057	-2.24960571323136
"on"	"17"	-1.8302984148279	0.191978946157996	Inf	-2.20657023508753	-1.45402659456828
"off"	"18"	-2.89055722511695	0.209864581949508	Inf	-3.30188424736854	-2.47923020286536
"on"	"18"	-1.92604086245797	0.193167604486368	Inf	-2.30464241023113	-1.54743931468481
"off"	"19"	-2.90707938073029	0.210063894420179	Inf	-3.31879704824606	-2.49536171321451
"on"	"19"	-1.99518502760367	0.193989070918447	Inf	-2.37539661999821	-1.61497343520913
"off"	"20"	-3.09411324646828	0.216437774156376	Inf	-3.51832348870879	-2.66990300422777
"on"	"20"	-1.98856439448412	0.194136213002352	Inf	-2.36906438006373	-1.60806440890452
