"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	-0.0711846191346774	0.0702273274400252	Inf	-1.01363132742691	0.310758703454427	0.345287448282697
"off - on"	"2"	-0.0100167179203284	0.0747229723328122	Inf	-0.134051384836707	0.893361941850237	0.893361941850237
"off - on"	"3"	-0.037771268124128	0.0775352286731388	Inf	-0.487149761089354	0.626152204746091	0.659107583943254
"off - on"	"4"	-0.16606112942694	0.0799264567550865	Inf	-2.07767410403029	0.0377393857406339	0.0443992773419222
"off - on"	"5"	-0.393977620060335	0.0821620828420349	Inf	-4.79512697867942	1.62571819784624e-06	2.0321477473078e-06
"off - on"	"6"	-0.428527886587364	0.0841745584245269	Inf	-5.09094309026394	3.56286958654077e-07	4.75049278205436e-07
"off - on"	"7"	-0.455509717428999	0.0856764454103606	Inf	-5.3166271691976	1.05708352067539e-07	1.51011931525056e-07
"off - on"	"8"	-0.590898788922519	0.0890365301372173	Inf	-6.63658824093733	3.21026788343053e-11	6.42053576686105e-11
"off - on"	"9"	-0.536865690504621	0.0913054032301988	Inf	-5.87988959592103	4.10540217316037e-09	6.31600334332365e-09
"off - on"	"10"	-0.648490464106262	0.0932780258564462	Inf	-6.95223186974692	3.59551785543874e-12	1.02729081583964e-11
"off - on"	"11"	-0.653766260190853	0.0964547724583582	Inf	-6.7779565855396	1.21887461468799e-11	3.04718653671997e-11
"off - on"	"12"	-0.871136565082022	0.100718258329849	Inf	-8.6492417514715	5.18427334249625e-18	1.03685466849925e-16
"off - on"	"13"	-0.753409929274374	0.101340770319032	Inf	-7.43442078546035	1.050271435759e-13	4.20108574303598e-13
"off - on"	"14"	-0.671605005516274	0.102834461961907	Inf	-6.5309332368079	6.53611317397476e-11	1.18838421344996e-10
"off - on"	"15"	-0.877708255022408	0.108155446372678	Inf	-8.11524786276628	4.84794283000384e-16	3.23196188666923e-15
"off - on"	"16"	-0.778479801611948	0.111727223111008	Inf	-6.96768236008586	3.22204668742482e-12	1.02729081583964e-11
"off - on"	"17"	-0.699619044613983	0.114345815687224	Inf	-6.11844902595899	9.44904975670178e-10	1.57484162611696e-09
"off - on"	"18"	-0.928836967568628	0.120476639670953	Inf	-7.70968521454015	1.26128451286051e-14	6.30642256430257e-14
"off - on"	"19"	-1.05255503867712	0.125875888273033	Inf	-8.36184795291427	6.1743386959724e-17	6.1743386959724e-16
"off - on"	"20"	-0.836638710137824	0.124195193493345	Inf	-6.73648219874674	1.62267162683764e-11	3.60593694852808e-11
