"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.573455813386	0.0803614563923043	Inf	1.4159502531119	1.73096137366011
"on"	"1"	1.64464043252068	0.0800966938039817	Inf	1.48765379738414	1.80162706765722
"off"	"2"	0.720570773425883	0.0820697819986566	Inf	0.559716956489462	0.881424590362303
"on"	"2"	0.730587491346211	0.0817386243066409	Inf	0.570382731559345	0.890792251133078
"off"	"3"	0.28908054145886	0.0834484380388956	Inf	0.125524608336503	0.452636474581218
"on"	"3"	0.326851809582988	0.0827630115586356	Inf	0.16463928767599	0.489064331489986
"off"	"4"	-0.103320773379157	0.0849852488386008	Inf	-0.269888800319989	0.0632472535616748
"on"	"4"	0.0627403560477828	0.0834404198966008	Inf	-0.100799861804454	0.22628057390002
"off"	"5"	-0.460427383828229	0.0867228829448445	Inf	-0.630401111035607	-0.290453656620851
"on"	"5"	-0.0664497637678945	0.0839629863735895	Inf	-0.231014193094557	0.0981146655587683
"off"	"6"	-0.686282655239378	0.0878829140916346	Inf	-0.858530001715409	-0.514035308763346
"on"	"6"	-0.257754768652014	0.0847649427875125	Inf	-0.423891003667137	-0.0916185336368912
"off"	"7"	-0.863180877964607	0.0888437294645895	Inf	-1.03731138796742	-0.689050367961792
"on"	"7"	-0.407671160535608	0.0854102290807868	Inf	-0.575072133445266	-0.240270187625951
"off"	"8"	-1.16003324541745	0.0915093874034248	Inf	-1.33938834897549	-0.980678141859414
"on"	"8"	-0.569134456494931	0.086161474226692	Inf	-0.738007842834123	-0.400261070155739
"off"	"9"	-1.2996523875953	0.0927519111404523	Inf	-1.48144279292784	-1.11786198226275
"on"	"9"	-0.762786697090675	0.0873150764148256	Inf	-0.933921102171096	-0.591652292010255
"off"	"10"	-1.4949588653088	0.0944380009414075	Inf	-1.68005394592592	-1.30986378469168
"on"	"10"	-0.846468401202537	0.087712028823993	Inf	-1.0183808187085	-0.674555983696571
"off"	"11"	-1.65274547931048	0.0965721077537995	Inf	-1.84202333241905	-1.46346762620191
"on"	"11"	-0.998979219119629	0.0889237359796059	Inf	-1.1732665390104	-0.824691899228853
"off"	"12"	-1.95138716111368	0.100439765527723	Inf	-2.14824548416367	-1.7545288380637
"on"	"12"	-1.08025059603166	0.0895094314633644	Inf	-1.25568585797651	-0.904815334086813
"off"	"13"	-1.93688942880649	0.100186799113582	Inf	-2.13325194679546	-1.74052691081752
"on"	"13"	-1.18347949953212	0.0905587062096466	Inf	-1.36097130218957	-1.00598769687466
"off"	"14"	-1.97390990577828	0.100711194211553	Inf	-2.17130021927295	-1.77651959228362
"on"	"14"	-1.30230490026201	0.0917386041699607	Inf	-1.48210926042711	-1.12250054009691
"off"	"15"	-2.25029179728752	0.105548917558166	Inf	-2.45716387430871	-2.04341972026633
"on"	"15"	-1.37258354226511	0.0925125489615157	Inf	-1.55390480634768	-1.19126227818254
"off"	"16"	-2.33717772197551	0.107564076706642	Inf	-2.54799943835083	-2.12635600560019
"on"	"16"	-1.55869792036356	0.0946449001442911	Inf	-1.74419851596676	-1.37319732476036
"off"	"17"	-2.3334587816577	0.109230699350172	Inf	-2.54754701839015	-2.11937054492524
"on"	"17"	-1.63383973704371	0.0956952482004424	Inf	-1.8213989770082	-1.44628049707922
"off"	"18"	-2.5975995627056	0.115241517346823	Inf	-2.82346878622912	-2.37173033918208
"on"	"18"	-1.66876259513697	0.0962891959719418	Inf	-1.8574859513423	-1.48003923893165
"off"	"19"	-2.77670851191846	0.120140410672136	Inf	-3.0121793899237	-2.54123763391322
"on"	"19"	-1.72415347324134	0.0972632931359717	Inf	-1.9147860248056	-1.53352092167707
"off"	"20"	-2.65202545430076	0.117108666663696	Inf	-2.88155422323912	-2.42249668536241
"on"	"20"	-1.81538674416294	0.0987727742951679	Inf	-2.00897782443457	-1.62179566389131
