"time_bin"	"observed_zeros"	"predicted_zeros_nb"	"predicted_zeros_zi_nb"
"1"	0	0.13264243529771	0.138602194685016
"2"	0.41865671641791	0.318681818989765	0.44202228005232
"3"	0.525373134328358	0.391796371408096	0.564051072642798
"4"	0.61044776119403	0.460404220632404	0.669924407081055
"5"	0.635820895522388	0.497389917155445	0.704004204990638
"6"	0.694776119402985	0.552994641626332	0.775821291992867
"7"	0.726865671641791	0.575128119566181	0.812167562150376
"8"	0.756716417910448	0.616956538511928	0.845358388698695
"9"	0.785820895522388	0.642316385745288	0.875359336165338
"10"	0.799253731343284	0.679712278296914	0.889880089400551
"11"	0.820149253731343	0.704492721473681	0.909460442397985
"12"	0.83955223880597	0.730630488064946	0.926188930160213
"13"	0.850746268656716	0.747850795029656	0.935434701894443
"14"	0.867910447761194	0.76228013375986	0.94792720534589
"15"	0.885820895522388	0.808489181196233	0.961138523026991
"16"	0.898507462686567	0.811102514832896	0.968387077082743
"17"	0.904477611940299	0.825025844952158	0.971801342616893
"18"	0.911194029850746	0.820632282160554	0.974534064152112
"19"	0.921641791044776	0.850575688148437	0.980866512262545
"20"	0.923880597014925	0.848803254796259	0.981709018929272
