"contrast"	"time_bin"	"estimate"	"SE"	"df"	"z.ratio"	"p.value"	"adjusted_p_value"
"off - on"	"1"	0.0685765543482077	0.0866306504185527	Inf	0.791596900368204	0.428595754852436	0.854629780565579
"off - on"	"2"	-0.066968020098777	0.0945515630243457	Inf	-0.708269836655515	0.47877770478273	0.854629780565579
"off - on"	"3"	0.0198551256877779	0.0975641700568344	Inf	0.203508374808207	0.838737700494575	0.971464593144023
"off - on"	"4"	0.00946314457643014	0.100667494703384	Inf	0.0940039742154428	0.925105999751262	0.971464593144023
"off - on"	"5"	-0.0672882572159784	0.102805751353277	Inf	-0.654518412931508	0.512777868339347	0.854629780565579
"off - on"	"6"	0.140875104709199	0.10627179288195	Inf	1.32561144296952	0.184968433948449	0.616561446494828
"off - on"	"7"	0.0129795274578357	0.10759338883523	Inf	0.120634990665761	0.903980152681954	0.971464593144023
"off - on"	"8"	0.0560877052591586	0.110778414024404	Inf	0.506305364209339	0.612642297870498	0.896155470132989
"off - on"	"9"	-0.0194259072194893	0.11260892575765	Inf	-0.172507703885717	0.863038405328772	0.971464593144023
"off - on"	"10"	0.056653304851343	0.116872394219789	Inf	0.484744966760937	0.627857264957319	0.896155470132989
"off - on"	"11"	0.128052251141259	0.120063007817648	Inf	1.06654208876514	0.286178663164196	0.715446657910491
"off - on"	"12"	0.215955529560111	0.123783554409647	Inf	1.74462213975075	0.0810506643841752	0.324202657536701
"off - on"	"13"	0.10015519817338	0.126487110964341	Inf	0.791821375393863	0.428464836819605	0.854629780565579
"off - on"	"14"	0.357694802129524	0.12972774230099	Inf	2.75727300718463	0.00582856655480227	0.116571331096045
"off - on"	"15"	0.150087550576703	0.139976916687581	Inf	1.07223072295333	0.283616414184453	0.715446657910491
"off - on"	"16"	0.0594560137090122	0.140476627107736	Inf	0.423244883744349	0.672116602599742	0.896155470132989
"off - on"	"17"	0.00519749371337906	0.145297235977195	Inf	0.0357714562044032	0.971464593144023	0.971464593144023
"off - on"	"18"	0.279511854455585	0.144212477082871	Inf	1.93819467018075	0.0525994767641055	0.262997383820528
"off - on"	"19"	0.308797099784224	0.155193121044994	Inf	1.98976022716044	0.0466173546522347	0.262997383820528
"off - on"	"20"	0.316860440353829	0.154120829150115	Inf	2.05592224036898	0.0397900120030021	0.262997383820528
