"laser"	"time_bin"	"emmean"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"off"	"1"	1.58495971572951	0.178959940288349	Inf	1.23420467808891	1.93571475337012
"on"	"1"	1.51638316138131	0.177713307276152	Inf	1.16807147954655	1.86469484321606
"off"	"2"	0.488931708731327	0.180944386950868	Inf	0.134287227102946	0.843576190359707
"on"	"2"	0.555899728830104	0.179249436834529	Inf	0.20457728838534	0.907222169274867
"off"	"3"	0.17898787494042	0.181553202310399	Inf	-0.176849862865876	0.534825612746716
"on"	"3"	0.159132749252642	0.180098521073494	Inf	-0.193853865720333	0.512119364225618
"off"	"4"	-0.156632607984293	0.182255807368722	Inf	-0.513847426400257	0.200582210431671
"on"	"4"	-0.166095752560723	0.181057119164085	Inf	-0.520961185266906	0.18876968014546
"off"	"5"	-0.375400558956028	0.183117043938614	Inf	-0.73430337003115	-0.0164977478809062
"on"	"5"	-0.30811230174005	0.181461905135177	Inf	-0.66377110037102	0.0475464968909202
"off"	"6"	-0.536524342067032	0.183649587157107	Inf	-0.89647091867061	-0.176577765463453
"on"	"6"	-0.677399446776231	0.183016747107457	Inf	-1.03610567967452	-0.318693213877939
"off"	"7"	-0.712286539782591	0.184479418572444	Inf	-1.07385955607347	-0.350713523491711
"on"	"7"	-0.725266067240426	0.183014384811609	Inf	-1.08396767012393	-0.366564464356919
"off"	"8"	-0.898130631772182	0.185391361055106	Inf	-1.26149102248505	-0.534770241059313
"on"	"8"	-0.954218337031341	0.18410598888851	Inf	-1.31505944459095	-0.59337722947173
"off"	"9"	-1.06647109301744	0.18623071322082	Inf	-1.43147658374545	-0.701465602289421
"on"	"9"	-1.04704518579795	0.18449637460175	Inf	-1.40865143529559	-0.685438936300306
"off"	"10"	-1.22183046573628	0.187393864451309	Inf	-1.58911569098463	-0.854545240487938
"on"	"10"	-1.27848377058763	0.186083938840231	Inf	-1.64320158881583	-0.91376595235942
"off"	"11"	-1.31881021479591	0.18815741317496	Inf	-1.68759196804305	-0.950028461548766
"on"	"11"	-1.44686246593717	0.187399027276291	Inf	-1.81415781013654	-1.0795671217378
"off"	"12"	-1.42073047946423	0.189172224206915	Inf	-1.79150122578512	-1.04995973314334
"on"	"12"	-1.63668600902434	0.18885891296503	Inf	-2.00684267659519	-1.2665293414535
"off"	"13"	-1.58008987201596	0.190584014875022	Inf	-1.95362767720005	-1.20655206683187
"on"	"13"	-1.68024507018934	0.189365073591495	Inf	-2.05139379435845	-1.30909634602023
"off"	"14"	-1.53829850552348	0.190424631247348	Inf	-1.9115239245376	-1.16507308650935
"on"	"14"	-1.895993307653	0.191773250666696	Inf	-2.2718619721579	-1.52012464314811
"off"	"15"	-1.94313675252518	0.19512903477782	Inf	-2.32558263302777	-1.56069087202258
"on"	"15"	-2.09322430310188	0.194342909429314	Inf	-2.47412940623407	-1.71231919996969
"off"	"16"	-2.00761298939286	0.195928750304942	Inf	-2.39162628352649	-1.62359969525923
"on"	"16"	-2.06706900310187	0.193926920733923	Inf	-2.44715878337312	-1.68697922283063
"off"	"17"	-2.13659479855984	0.198041645124117	Inf	-2.52474929044217	-1.74844030667751
"on"	"17"	-2.14179229227322	0.195403318973116	Inf	-2.52477575992012	-1.75880882462632
"off"	"18"	-1.96618888338893	0.196021182971431	Inf	-2.35038334221987	-1.58199442455799
"on"	"18"	-2.24570073784451	0.196641851022345	Inf	-2.6311116837016	-1.86028979198743
"off"	"19"	-2.18642649690197	0.199544228463732	Inf	-2.57752599801372	-1.79532699579022
"on"	"19"	-2.4952235966862	0.201422760391562	Inf	-2.8900049527203	-2.10044224065209
"off"	"20"	-2.16780749830127	0.19898016853471	Inf	-2.55780146226701	-1.77781353433553
"on"	"20"	-2.4846679386551	0.201255339698434	Inf	-2.87912115616041	-2.0902147211498
